"symbol"
"A"
"AAL"
"AAPL"
"ABBV"
"ABNB"
"ABT"
"ACN"
"ADBE"
"ADI"
"ADP"
"AEO"
"AEP"
"AFL"
"AFRM"
"AIG"
"ALGN"
"ALK"
"ALL"
"ALLY"
"AMD"
"AMGN"
"AMP"
"AMT"
"AMZN"
"ANF"
"AON"
"APA"
"APD"
"AR"
"ARCB"
"ATO"
"AVGO"
"AWK"
"AXP"
"BA"
"BAC"
"BAX"
"BBY"
"BDX"
"BIIB"
"BJ"
"BK"
"BKNG"
"BKR"
"BLK"
"BMBL"
"BMRN"
"BMY"
"BNTX"
"BSX"
"C"
"CARG"
"CAT"
"CB"
"CBOE"
"CCI"
"CFG"
"CHRW"
"CHWY"
"CHX"
"CL"
"CMA"
"CMCSA"
"CME"
"CMG"
"CMI"
"COF"
"COIN"
"COO"
"COP"
"COST"
"CRM"
"CRWD"
"CSX"
"CVNA"
"CVS"
"CVX"
"D"
"DAL"
"DDOG"
"DE"
"DG"
"DHR"
"DIS"
"DKS"
"DLTR"
"DOCU"
"DPZ"
"DRI"
"DTE"
"DUK"
"DVN"
"DXCM"
"EBAY"
"ED"
"EIX"
"EMR"
"EOG"
"EQIX"
"EQT"
"ES"
"ETR"
"ETSY"
"EW"
"EXC"
"EXPD"
"F"
"FANG"
"FCX"
"FDX"
"FE"
"FIS"
"FITB"
"FIVE"
"FTI"
"GD"
"GE"
"GEHC"
"GILD"
"GM"
"GOOG"
"GOOGL"
"GPN"
"GS"
"HAL"
"HBAN"
"HD"
"HES"
"HII"
"HOLX"
"HON"
"HOOD"
"HP"
"HUBG"
"IBM"
"ICE"
"IDXX"
"ILMN"
"INCY"
"INTC"
"INTU"
"IQV"
"ISRG"
"ITW"
"JBHT"
"JBLU"
"JNJ"
"JPM"
"KEY"
"KLAC"
"KNX"
"KO"
"KR"
"KSS"
"LBRT"
"LCID"
"LDOS"
"LHX"
"LI"
"LLY"
"LMT"
"LOW"
"LSTR"
"LULU"
"LUV"
"LYFT"
"M"
"MA"
"MATX"
"MCD"
"MCO"
"MDB"
"MDLZ"
"MDT"
"MESA"
"MET"
"META"
"MKTX"
"MMC"
"MMM"
"MO"
"MPC"
"MRK"
"MRNA"
"MRTN"
"MS"
"MSFT"
"MTB"
"MTCH"
"MTDR"
"NDAQ"
"NEE"
"NET"
"NEXT"
"NFLX"
"NIO"
"NKE"
"NOC"
"NOV"
"NOW"
"NSC"
"NTRS"
"NVDA"
"ODFL"
"OKTA"
"OLLI"
"OPEN"
"ORCL"
"OVV"
"OXY"
"PCG"
"PEG"
"PEP"
"PETS"
"PFE"
"PFGC"
"PG"
"PGR"
"PHG"
"PINS"
"PLD"
"PLTR"
"PM"
"PNC"
"PODD"
"PPL"
"PRU"
"PSX"
"PTON"
"PYPL"
"QCOM"
"QDEL"
"QGEN"
"QSR"
"R"
"RBLX"
"RDFN"
"REGN"
"RF"
"RH"
"RITE"
"RIVN"
"RMD"
"ROKU"
"ROST"
"RRC"
"RTX"
"RYAAY"
"SAIA"
"SBUX"
"SCHW"
"SHOP"
"SHW"
"SKYW"
"SLB"
"SM"
"SNAP"
"SNDR"
"SNOW"
"SO"
"SOFI"
"SPGI"
"SPOT"
"SRE"
"STT"
"SYF"
"SYK"
"SYY"
"TDG"
"TDOC"
"TEAM"
"TECH"
"TGT"
"TJX"
"TMO"
"TMUS"
"TPG"
"TROW"
"TRV"
"TSLA"
"TWLO"
"TXN"
"U"
"UAL"
"UBER"
"ULTA"
"UNFI"
"UNH"
"UNP"
"UPS"
"UPST"
"URBN"
"USB"
"V"
"VEEV"
"VLO"
"VRTX"
"VTRS"
"VZ"
"W"
"WBA"
"WDAY"
"WEC"
"WERN"
"WFC"
"WMT"
"WSM"
"WU"
"XEL"
"XOM"
"XPEV"
"XPO"
"YUM"
"ZBH"
"ZG"
"ZION"
"ZM"
"ZS"
"ZTS"
